date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2018-01-03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-28,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-01,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-02,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-05,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-06,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-07,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-08,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
2018-03-09,0.0019665815534298465,0.000739121005628289,0.005811062634184329,4.2926853933008535e-16,0.00853322747985098,1.6432099563406109e-15,2.3686568826702728e-15,0.9743691560760228,0.01611764082330872,0.0006147956506534194
